,genename,targets
56,Cre01.g047100,"['Cre01.g046500', 'Cre01.g046450', 'Cre01.g046501', 'Cre01.g047200', 'Cre01.g046502']"
57,Cre10.g443950,['Cre10.g444100']
58,Cre12.g526450,"['Cre12.g526650', 'Cre12.g526051', 'Cre12.g526150']"
59,Cre05.g241652,"['Cre08.g373361', 'Cre08.g373354', 'Cre23.g754497', 'Cre14.g612400', 'Cre22.g753447']"
60,Cre06.g261123,['Cre16.g692340']
61,Cre16.g678700,['Cre16.g678250']
62,Cre06.g266450,['Cre06.g266000']
63,Cre15.g639802,['Cre15.g639750']
64,Cre13.g575750,['Cre01.g036350']
65,Cre01.g054750,['Cre01.g055457']
66,Cre10.g433200,['Cre10.g433250']
67,Cre10.g433250,['Cre10.g433200']
68,Cre17.g701850,['Cre04.g217971']
69,Cre12.g549550,['Cre12.g542250']
70,Cre17.g746697,"['Cre07.g329861', 'Cre07.g350100', 'Cre07.g350100', 'Cre07.g325739', 'Cre07.g355466', 'Cre07.g355466', 'Cre11.g482750', 'Cre11.g482750', 'Cre11.g482750', 'Cre11.g482750', 'Cre14.g621172', 'Cre16.g688900', 'Cre16.g687050', 'Cre16.g687050', 'Cre16.g687050', 'Cre06.g283500', 'Cre06.g276759', 'Cre06.g276759', 'Cre09.g391600', 'Cre09.g391600', 'Cre17.g720400', 'Cre17.g746047', 'Cre17.g746047', 'Cre05.g243700', 'Cre05.g243700', 'Cre05.g243700', 'Cre05.g243700', 'Cre05.g243700', 'Cre05.g243700', 'Cre03.g148150', 'Cre03.g189150', 'Cre03.g201851', 'Cre01.g001150', 'Cre01.g013000', 'Cre01.g013000', 'Cre01.g041583', 'Cre01.g041583', 'Cre01.g041583', 'Cre01.g041583', 'Cre01.g041583', 'Cre10.g426850', 'Cre10.g426850', 'Cre12.g550152']"
71,Cre16.g671400,['Cre16.g671350']
72,Cre06.g266000,['Cre06.g266450']
73,Cre03.g195100,['Cre03.g195150']
74,Cre01.g059252,['Cre01.g059982']
75,Cre04.g224300,['Cre04.g224350']
76,Cre08.g365300,"['Cre08.g365103', 'Cre08.g365150', 'Cre08.g365200', 'Cre08.g365100', 'Cre08.g365050', 'Cre08.g365204', 'Cre08.g365205']"
77,Cre07.g343250,['Cre07.g343300']
78,Cre07.g343567,['Cre07.g343534']
79,Cre07.g343300,['Cre07.g343250']
80,Cre13.g572272,"['Cre14.g631451', 'Cre13.g572250']"
81,Cre11.g476325,['Cre16.g673852']
82,Cre06.g306050,['Cre06.g303100']
83,Cre06.g303100,['Cre06.g306050']
84,Cre15.g637602,['Cre15.g637552']
85,Cre17.g745347,['Cre14.g614151']
86,Cre06.g262500,['Cre06.g262350']
87,Cre06.g262550,['Cre06.g262350']
88,Cre12.g542800,['Cre06.g303251']
89,Cre04.g229374,"['Cre39.g760097', 'Cre01.g006450']"
90,Cre13.g578200,['Cre13.g578074']
91,Cre13.g578074,['Cre13.g578200']
92,Cre12.g512100,"['Cre02.g141386', 'Cre03.g144244']"
93,Cre04.g217923,"['Cre04.g217940', 'Cre04.g217928']"
94,Cre08.g369720,['Cre08.g369850']
95,Cre07.g322850,['Cre07.g322600']
96,Cre14.g608300,['Cre14.g630050']
97,Cre03.g144084,['Cre17.g732650']
