,genename,offtarget,# match within CDS,CDS,Gene,RNAseq,platename,Pos.Nr,Position,right size,no band,too big,too small,schmier
34,Cre07.g323050,0.0,1.0,['378'],[],"['378', '378']",P1kCre1+2,35.0,C5,1.0,,,,
35,Cre07.g328075,0.0,1.0,['699'],['2026'],['696'],P1kCre1+2,94.0,F12,1.0,,,,
36,Cre07.g326400,0.0,1.0,['708'],['2006'],"['708', '708']",P1kCre7,44.0,D6,1.0,,,,
37,Cre07.g336250,0.0,1.0,['957'],['1527'],['957'],P1kCre1+2,15.0,G2,1.0,,,,
38,Cre07.g313800,0.0,1.0,['330'],['879'],"['330', '330', '330', '330']",P1kCre3,80.0,H10,1.0,,,,
39,Cre07.g320000,0.0,1.0,['906'],['2926'],[],P1kCre9,63.0,G8,0.0,1.0,,,
40,Cre07.g314600,0.0,1.0,['873'],['3012'],"['1149', '873', '1306']",P1kCre9,43.0,C6,1.0,,,,
41,Cre07.g336850,0.0,1.0,['798'],['1845'],"['768', '798']",P1kCre3,15.0,G2,1.0,,,,
42,Cre07.g324600,0.0,1.0,['429'],['1461'],['429'],P1kCre1+2,44.0,D6,1.0,,,,
43,Cre11.g478750,0.0,1.0,['540'],['2641'],"['540', '540', '540']",P1kCre5,60.0,D8,1.0,,,,
44,Cre11.g467717,1.0,1.0,['990'],['3256'],['990'],P1kCre11,11.0,C2,1.0,,,,
45,Cre11.g479050,0.0,1.0,['429'],['1863'],"['429', '429']",P1kCre5,18.0,B3,0.0,1.0,,,
46,Cre11.g467778,0.0,1.0,['792'],['4639'],['798'],P1kCre3,14.0,F2,1.0,,,,
47,Cre11.g467544,0.0,1.0,['759'],['2410'],['759'],P1kCre7,81.0,A11,0.0,1.0,,,
48,Cre11.g475100,0.0,1.0,['387'],[],['387'],P1kCre1+2,37.0,E5,1.0,,,,
49,Cre11.g478700,0.0,1.0,['390'],['1527'],"['390', '390', '470']",P1kCre1+2,38.0,F5,1.0,,,,
50,Cre11.g467753,0.0,1.0,['837'],['2580'],"['837', '1045', '1157', '837']",P1kCre9,21.0,E3,1.0,,,,
51,Cre11.g479650,0.0,1.0,['801'],['3001'],"['801', '801']",P1kCre3,16.0,H2,0.0,1.0,,,
52,Cre11.g475550,0.0,1.0,['909'],['2840'],[],P1kCre3,41.0,A6,1.0,,,,
53,Cre11.g467576,0.0,1.0,['945'],['3796'],['930'],P1kCre9,85.0,E11,0.0,1.0,,,
54,Cre11.g480950,0.0,1.0,['468'],['1175'],[],P1kCre1+2,50.0,B7,1.0,,,,
55,Cre11.g468300,0.0,1.0,['576'],['576'],['576'],P1kCre1+2,1.0,A1,1.0,,,,
56,Cre11.g468450,0.0,1.0,['507'],['1771'],['507'],P1kCre5,45.0,E6,1.0,,,,
57,Cre11.g467759,0.0,1.0,['888'],['2880'],['888'],P1kCre9,52.0,D7,1.0,,,,
58,Cre11.g468950,0.0,1.0,['180'],['409'],"['180', '180']",P1kCre11,17.0,A3,1.0,,,,
59,Cre14.g628350,0.0,1.0,['744'],['2499'],['744'],P1kCre7,68.0,D9,1.0,,,,
60,Cre14.g619550,0.0,1.0,['747'],[],"['747', '747', '747']",P1kCre7,70.0,F9,1.0,,,,
61,Cre14.g622650,0.0,1.0,['720'],['1118'],['803'],P1kCre7,52.0,D7,1.0,,,,
62,Cre14.g622750,0.0,1.0,['684'],['1583'],['684'],P1kCre7,32.0,H4,0.0,1.0,,,
63,Cre14.g617950,0.0,1.0,['684'],['2745'],['684'],P1kCre1+2,91.0,C12,1.0,0.0,,,
64,Cre14.g610250,0.0,1.0,['906'],['906'],[],P1kCre9,64.0,H8,0.0,1.0,,,
65,Cre14.g620300,0.0,1.0,['687'],['2621'],['687'],P1kCre1+2,92.0,D12,1.0,,,,
66,Cre14.g614800,0.0,1.0,['309'],['309'],['309'],P1kCre3,75.0,C10,1.0,,,,
67,Cre14.g633550,0.0,1.0,['390'],['902'],"['390', '390']",P1kCre1+2,39.0,G5,1.0,,,,
68,Cre14.g617900,0.0,1.0,['390'],[],"['390', '390']",P1kCre5+6,1.0,A1,1.0,,,,
69,Cre14.g621475,0.0,1.0,['996'],['2039'],"['1208', '996']",P1kCre11,16.0,H2,1.0,,,,
70,Cre14.g626900,0.0,1.0,['732'],['3221'],['732'],P1kCre7,55.0,G7,1.0,,,,
71,Cre14.g628450,0.0,1.0,['681'],['2300'],"['681', '681', '681', '930']",P1kCre7,31.0,G4,1.0,,,,
72,Cre14.g615750,0.0,1.0,['549'],['1952'],"['549', '929']",P1kCre5,70.0,F9,0.0,1.0,,,
73,Cre14.g620400,0.0,1.0,['504'],[],['504'],P1kCre5,43.0,C6,0.0,1.0,,,
74,Cre14.g615050,0.0,1.0,['924'],['2944'],['924'],P1kCre3,44.0,D6,1.0,,,,
75,Cre16.g659350,0.0,1.0,['417'],['1117'],['417'],P1kCre5,15.0,G2,1.0,,,,
76,Cre16.g647750,0.0,1.0,['516'],['516'],['516'],P1kCre1+2,58.0,B8,0.0,,,,
77,Cre16.g683750,0.0,1.0,['738'],['1363'],['738'],P1kCre7,62.0,F8,0.0,0.0,1.0,,
78,Cre16.g677500,0.0,1.0,['654'],['654'],['654'],P1kCre7,23.0,G3,0.0,1.0,,,
79,Cre16.g681500,0.0,1.0,['591'],['2176'],"['591', '591', '840']",P1kCre5,90.0,B12,1.0,,,,
80,Cre16.g672753,0.0,1.0,['537'],['1236'],"['537', '616']",P1kCre1+2,63.0,G8,1.0,,,,
81,Cre16.g682725,0.0,1.0,['651'],['2099'],['651'],P1kCre7,21.0,E3,1.0,,,,
82,Cre16.g671900,0.0,1.0,['765'],['2435'],"['765', '765']",P1kCre7,84.0,D11,1.0,,,,
83,Cre16.g687294,0.0,1.0,['339'],['424'],['339'],P1kCre3,82.0,B11,1.0,,,,
84,Cre16.g690500,0.0,1.0,['486'],['989'],"['486', '486', '486']",P1kCre1+2,54.0,F7,1.0,,,,
85,Cre16.g677650,0.0,1.0,['894'],['1434'],[],P1kCre9,55.0,G7,0.0,1.0,,,
86,Cre16.g668600,0.0,1.0,['966'],['3147'],"['966', '966']",P1kCre11+12,1.0,A1,1.0,,,,
87,Cre16.g676150,0.0,1.0,['861'],['2844'],['861'],P1kCre9,37.0,E5,1.0,,,,
88,Cre16.g669150,0.0,1.0,['975'],['2298'],"['978', '1175', '978', '978', '975', '978', '978']",P1kCre11,6.0,F1,1.0,,,,
89,Cre16.g675500,0.0,1.0,['525'],['1423'],['525'],P1kCre5,56.0,H7,0.0,1.0,,,
90,Cre16.g661800,0.0,1.0,['879'],[],[],P1kCre3,33.0,A5,1.0,,,,
91,Cre16.g671329,0.0,1.0,['735'],['1159'],['735'],P1kCre7,60.0,D8,1.0,,,,
92,Cre16.g658400,0.0,1.0,['363'],['963'],[],P1kCre3,90.0,B12,0.0,0.0,1.0,,
93,Cre16.g693700,0.0,1.0,['444'],['1269'],"['444', '444', '444']",P1kCre5,27.0,C4,1.0,,,,
94,Cre16.g650800,0.0,1.0,['252'],['549'],"['252', '400', '400', '252', '252', '252', '311', '311', '459']",P1kCre1+2,22.0,F3,1.0,,,,
95,Cre16.g676645,0.0,1.0,['498'],['1864'],['498'],P1kCre1+2,56.0,H7,0.0,1.0,,,
96,Cre16.g671750,0.0,1.0,['375'],[],"['375', '375']",P1kCre1+2,34.0,B5,1.0,,,,
97,Cre16.g682587,0.0,1.0,['312'],['742'],"['312', '312', '312']",P1kCre3,76.0,D10,1.0,,,,
98,Cre16.g680230,0.0,1.0,['204'],['598'],['204'],P1kCre3,64.0,H8,1.0,,,,
99,Cre16.g653850,0.0,1.0,['267'],['584'],['267'],P1kCre1+2,25.0,A4,0.0,1.0,,,
100,Cre16.g687652,0.0,1.0,['648'],['747'],"['747', '747', '747', '726', '747', '720']",P1kCre7,18.0,B3,1.0,,,,
101,Cre16.g674400,0.0,1.0,['207'],['207'],['207'],P1kCre3,65.0,A9,1.0,,,,
102,Cre16.g656600,0.0,1.0,['390'],['825'],"['390', '390']",P1kCre1+2,40.0,H5,1.0,,,,
103,Cre16.g682100,0.0,1.0,['807'],['3065'],['807'],P1kCre9,9.0,A2,1.0,,,,
104,Cre16.g667100,0.0,1.0,['885'],['2528'],"['885', '885']",P1kCre9,49.0,A7,1.0,,,,
105,Cre16.g691776,0.0,1.0,['690'],['1988'],['690'],P1kCre7,37.0,E5,0.0,1.0,,,
106,Cre16.g670800,0.0,1.0,['336'],['495'],"['336', '336', '336']",P1kCre3,81.0,A11,0.0,1.0,,,
107,Cre16.g663650,0.0,1.0,['540'],['1573'],"['811', '540']",P1kCre5,61.0,E8,1.0,,,,
108,Cre16.g653250,0.0,1.0,['678'],['827'],[],P1kCre1+2,90.0,B12,0.0,1.0,1.0,,
109,Cre16.g673841,0.0,1.0,['807'],['1845'],['807'],P1kCre9,8.0,H1,1.0,,,,
110,Cre16.g651500,0.0,1.0,['849'],[],['849'],P1kCre9,30.0,F4,1.0,,,,
111,Cre16.g673109,0.0,1.0,['384'],['501'],['384'],P1kCre1+2,36.0,D5,1.0,,,,
112,Cre16.g661700,0.0,1.0,['762'],['2395'],['762'],P1kCre7,83.0,C11,1.0,,,,
113,Cre16.g657150,0.0,1.0,['834'],['1611'],['834'],P1kCre3,27.0,C4,1.0,,,,
114,Cre16.g672050,0.0,1.0,['690'],['2034'],['690'],P1kCre7,36.0,D5,1.0,,,,
115,Cre16.g669950,0.0,1.0,['666'],['1776'],"['712', '666']",P1kCre7,27.0,C4,1.0,,,,
116,Cre26.g756797,0.0,1.0,['738'],['3996'],['738'],P1kCre7,63.0,G8,0.0,1.0,,,
117,Cre06.g257500,0.0,1.0,['741'],['831'],['741'],P1kCre3,8.0,H1,1.0,,,,
118,Cre06.g284500,0.0,1.0,['735'],['2721'],"['549', '735']",P1kCre7,58.0,B8,0.0,1.0,,,
119,Cre06.g252650,0.0,1.0,['642'],['1765'],['642'],P1kCre7,12.0,D2,1.0,,,,
120,Cre06.g262150,0.0,1.0,['819'],['1798'],[],P1kCre9,13.0,E2,0.0,0.0,,1.0,
121,Cre06.g306100,0.0,1.0,['411'],['938'],"['411', '411']",P1kCre5,9.0,A2,1.0,,,,
122,Cre06.g253350,0.0,1.0,['477'],['1135'],"['477', '477', '477']",P1kCre5,39.0,G5,1.0,,,,
123,Cre06.g309350,0.0,1.0,['744'],['1821'],"['932', '744', '744']",P1kCre7,67.0,C9,1.0,,,,
124,Cre06.g286250,0.0,1.0,['924'],['2844'],"['924', '924', '924']",P1kCre9,75.0,C10,1.0,,,,
125,Cre06.g308350,0.0,1.0,['921'],[],['921'],P1kCre3,42.0,B6,1.0,,,,
126,Cre06.g300400,0.0,1.0,['864'],['1634'],[],P1kCre9,38.0,F5,0.0,0.0,1.0,,
127,Cre06.g304350,0.0,1.0,['444'],['1263'],"['444', '444']",P1kCre1+2,6.0,F1,1.0,,,,
128,Cre06.g262700,0.0,1.0,['369'],[],['369'],P1kCre3,92.0,D12,1.0,,,,
129,Cre06.g263500,0.0,1.0,['780'],['1968'],['780'],P1kCre3,12.0,D2,1.0,,,,
130,Cre06.g284200,0.0,1.0,['762'],['1745'],[],P1kCre7,82.0,B11,1.0,,,,
131,Cre06.g284650,0.0,1.0,['837'],['3043'],['837'],P1kCre9,20.0,D3,0.0,1.0,,,
132,Cre06.g253300,0.0,1.0,['993'],['3305'],['993'],P1kCre11,12.0,D2,1.0,,,,
133,Cre06.g308850,0.0,1.0,['708'],['1828'],"['708', '708', '708']",P1kCre1+2,96.0,H12,1.0,,,,
134,Cre06.g269601,0.0,1.0,['429'],['659'],[],P1kCre5,17.0,A3,0.0,1.0,,,
135,Cre06.g290000,0.0,1.0,['909'],['1257'],"['909', '909']",P1kCre9,65.0,A9,1.0,,,,
136,Cre06.g255350,0.0,1.0,['831'],['2188'],[],P1kCre3,24.0,H3,0.0,1.0,,,
137,Cre06.g298100,0.0,1.0,['357'],[],['357'],P1kCre3,89.0,A12,1.0,,,,
138,Cre06.g280100,0.0,1.0,['708'],['1521'],['708'],P1kCre7,43.0,C6,1.0,,,,
139,Cre06.g291900,0.0,1.0,['753'],['2669'],"['753', '753']",P1kCre7,76.0,D10,1.0,,,,
140,Cre06.g260400,0.0,1.0,['366'],['735'],['366'],P1kCre1+2,2.0,B1,1.0,,,,
141,Cre06.g291650,0.0,1.0,['351'],['843'],['351'],P1kCre3,87.0,G11,1.0,,,,
142,Cre06.g274400,0.0,1.0,['831'],['3544'],"['831', '831']",P1kCre3,25.0,A4,1.0,,,,
143,Cre06.g272400,0.0,1.0,['639'],['705'],['639'],P1kCre1+2,85.0,E11,0.0,1.0,,,
144,Cre06.g309150,0.0,1.0,['840'],[],[],P1kCre9,24.0,H3,1.0,,,,
145,Cre06.g258150,0.0,1.0,['840'],['1338'],"['825', '825']",P1kCre9,23.0,G3,1.0,,,,
146,Cre06.g280900,0.0,1.0,['774'],['1790'],['771'],P1kCre1+2,11.0,C2,1.0,,,,
147,Cre06.g254200,0.0,1.0,['783'],['1260'],[],P1kCre7,89.0,A12,0.0,,,,
148,Cre06.g278113,0.0,1.0,['522'],['1593'],[],P1kCre1+2,59.0,C8,0.0,0.0,,,
149,Cre06.g308950,0.0,1.0,['627'],['2482'],"['627', '1227']",P1kCre7,7.0,G1,1.0,,,,
150,Cre06.g304300,0.0,1.0,['765'],['2668'],['765'],P1kCre3,10.0,B2,1.0,,,,
151,Cre06.g303050,0.0,1.0,['717'],['917'],[],P1kCre3,3.0,C1,1.0,,,,
152,Cre06.g254450,0.0,1.0,['894'],['2016'],[],P1kCre3,38.0,F5,1.0,,,,
153,Cre06.g283300,0.0,1.0,['585'],['967'],"['585', '585', '585']",P1kCre5,83.0,C11,1.0,,,,
154,Cre06.g287350,0.0,1.0,['213'],"['111', '213']","['111', '111']",P1kCre3,66.0,B9,0.0,1.0,,,
155,Cre06.g253851,1.0,1.0,['780'],['1301'],[],P1kCre7,87.0,G11,0.0,0.0,1.0,,
156,Cre06.g262450,0.0,1.0,['585'],['1241'],[],P1kCre5,82.0,B11,0.0,1.0,,,
157,Cre06.g279250,0.0,1.0,['570'],['1644'],['570'],P1kCre5,73.0,A10,0.0,1.0,,,
158,Cre06.g252401,0.0,1.0,['744'],['1062'],"['744', '744', '744']",P1kCre7,66.0,B9,0.0,0.0,1.0,,
159,Cre06.g279850,0.0,1.0,['813'],[],"['813', '813']",P1kCre3,21.0,E3,1.0,,,,
160,Cre06.g274500,0.0,1.0,['750'],['2308'],['750'],P1kCre7,73.0,A10,1.0,,,,
161,Cre06.g262200,0.0,1.0,['822'],['1627'],[],P1kCre9,15.0,G2,1.0,,,,
162,Cre06.g287100,0.0,1.0,['399'],['1655'],['399'],P1kCre1+2,42.0,B6,1.0,,,,
163,Cre06.g290100,0.0,1.0,['675'],['2637'],"['675', '675', '675']",P1kCre7,28.0,D4,1.0,,,,
164,Cre06.g269550,0.0,1.0,['612'],['1230'],[],P1kCre1+2,78.0,F10,1.0,,,,
165,Cre06.g254275,0.0,1.0,['240'],['381'],[],P1kCre3,69.0,E9,0.0,0.0,1.0,,
166,Cre06.g273650,0.0,1.0,['636'],['1549'],[],P1kCre7,10.0,B2,0.0,0.0,,,1.0
167,Cre06.g272650,0.0,1.0,['729'],['1966'],['729'],P1kCre3,7.0,G1,1.0,,,,
168,Cre06.g273600,0.0,1.0,['546'],['1135'],['546'],P1kCre5,66.0,B9,1.0,,,,
169,Cre06.g299650,0.0,1.0,['849'],['3801'],['849'],P1kCre9,29.0,E4,0.0,1.0,,,
170,Cre06.g306750,0.0,1.0,['921'],['2520'],[],P1kCre9,73.0,A10,1.0,,,,
171,Cre06.g278139,0.0,1.0,['630'],['1948'],"['630', '630']",P1kCre1+2,81.0,A11,1.0,,,,
172,Cre06.g260150,0.0,1.0,['849'],['1991'],['849'],P1kCre3,29.0,E4,1.0,,,,
173,Cre06.g261450,0.0,1.0,['537'],['1835'],[],P1kCre1+2,62.0,F8,1.0,,,,
174,Cre06.g282200,0.0,1.0,['699'],['699'],['699'],P1kCre7,41.0,A6,1.0,,,,
175,Cre09.g394325,0.0,1.0,['591'],['1148'],['591'],P1kCre5,87.0,G11,1.0,,,,
176,Cre09.g396363,0.0,1.0,['342'],['1447'],"['342', '342']",P1kCre3,84.0,D11,0.0,1.0,,,
177,Cre09.g397950,0.0,1.0,['564'],['1234'],[],P1kCre1+2,69.0,E9,1.0,,,,
178,Cre09.g388171,0.0,1.0,['822'],['2678'],['822'],P1kCre9,16.0,H2,0.0,0.0,,1.0,
179,Cre09.g389208,0.0,1.0,['678'],['2075'],"['678', '678']",P1kCre7,29.0,E4,0.0,0.0,1.0,,
180,Cre09.g403219,0.0,1.0,['606'],['2311'],"['606', '606']",P1kCre7,2.0,B1,0.0,1.0,,,
181,Cre09.g394450,0.0,1.0,['738'],['1862'],"['738', '738']",P1kCre7,61.0,E8,1.0,,,,
182,Cre09.g414000,0.0,1.0,['966'],['2828'],"['1195', '966']",P1kCre9,96.0,H12,1.0,,,,
183,Cre09.g411200,0.0,1.0,['918'],['2752'],['918'],P1kCre9,71.0,G9,1.0,,,,
184,Cre09.g407250,0.0,1.0,['447'],['1669'],"['447', '447', '447']",P1kCre5,28.0,D4,1.0,,,,
185,Cre09.g386912,0.0,1.0,['972'],['4483'],"['972', '972', '972']",P1kCre11,4.0,D1,0.0,1.0,,,
186,Cre09.g396500,0.0,1.0,['867'],['2927'],['867'],P1kCre1+2,13.0,E2,1.0,,,,
187,Cre09.g393210,0.0,1.0,['261'],[],"['261', '261']",P1kCre1+2,23.0,G3,1.0,,,,
188,Cre09.g391060,0.0,1.0,['396'],[],[],P1kCre5,3.0,C1,0.0,1.0,,,
189,Cre09.g395650,0.0,1.0,['642'],['2285'],['642'],P1kCre7,14.0,F2,1.0,,,,
190,Cre09.g406800,0.0,1.0,['546'],['1670'],['546'],P1kCre1+2,68.0,D9,1.0,0.0,,,
191,Cre09.g405350,0.0,1.0,['600'],['1573'],['600'],P1kCre1+2,75.0,C10,1.0,,,,
192,Cre09.g402650,0.0,1.0,['678'],['2147'],"['678', '678']",P1kCre7,30.0,F4,1.0,,,,
193,Cre09.g405050,0.0,1.0,['807'],['1864'],"['807', '807', '807']",P1kCre9,7.0,G1,1.0,,,,
194,Cre09.g400701,0.0,1.0,['918'],['1618'],[],P1kCre9,70.0,F9,1.0,,,,
195,Cre09.g415900,0.0,1.0,['996'],['3133'],[],P1kCre11,15.0,G2,1.0,,,,
196,Cre09.g398450,0.0,1.0,['840'],['1500'],[],P1kCre9,25.0,A4,0.0,1.0,,,
197,Cre09.g391023,0.0,1.0,['945'],['945'],['945'],P1kCre3,51.0,C7,1.0,,,,
198,Cre09.g387875,0.0,1.0,['576'],[],"['576', '576', '576', '576']",P1kCre5,80.0,H10,1.0,,,,
199,Cre09.g390763,0.0,1.0,['639'],[],"['639', '639']",P1kCre1+2,86.0,F11,0.0,1.0,,,
200,Cre09.g392430,0.0,1.0,['966'],['2572'],"['966', '966', '966', '966', '966']",P1kCre3,54.0,F7,1.0,,,,
201,Cre09.g416500,0.0,1.0,['303'],['835'],"['303', '303', '303', '303', '303', '303', '303']",P1kCre1+2,28.0,D4,1.0,,,,
202,Cre09.g397800,0.0,1.0,['189'],['318'],"['189', '189', '189']",P1kCre1+2,18.0,B3,0.0,1.0,,,
203,Cre09.g403050,0.0,1.0,['891'],['2733'],['894'],P1kCre9,53.0,E7,1.0,,,,
204,Cre09.g395100,0.0,1.0,['729'],['2014'],"['1079', '729']",P1kCre7,54.0,F7,1.0,,,,
205,Cre17.g722500,0.0,1.0,['756'],['1766'],['756'],P1kCre7,77.0,E10,1.0,,,,
206,Cre17.g701800,0.0,1.0,['567'],['811'],"['567', '567', '698', '698', '698', '567', '698', '400', '567']",P1kCre1+2,72.0,H9,0.0,1.0,,,
207,Cre17.g738350,0.0,1.0,['975'],['4010'],[],P1kCre11,7.0,G1,1.0,,,,
208,Cre17.g712850,0.0,1.0,['636'],['2693'],['636'],P1kCre1+2,82.0,B11,0.0,1.0,,,
209,Cre17.g731850,0.0,1.0,['903'],['2951'],['903'],P1kCre9,60.0,D8,1.0,,,,
210,Cre17.g734628,0.0,1.0,['435'],['1031'],"['435', '435', '464', '435']",P1kCre1+2,46.0,F6,1.0,,,,
211,Cre17.g701350,0.0,1.0,['939'],['3599'],['939'],P1kCre9,82.0,B11,1.0,,,,
212,Cre17.g733250,0.0,1.0,['684'],['2945'],"['684', '684', '684']",P1kCre7,34.0,B5,1.0,,,,
213,Cre17.g703176,0.0,1.0,['960'],['3794'],[],P1kCre9,94.0,F12,0.0,1.0,,,
214,Cre17.g707950,0.0,1.0,['615'],['1343'],['615'],P1kCre7,5.0,E1,1.0,,,,
215,Cre17.g711200,0.0,1.0,['885'],[],[],P1kCre9,57.0,A8,1.0,,,,1.0
216,Cre17.g711200,0.0,1.0,['879'],"['3224', '3218']",['879'],P1kCre9,57.0,A8,1.0,,,,1.0
217,Cre17.g705950,0.0,1.0,['477'],[],[],P1kCre1+2,53.0,E7,1.0,,,,
218,Cre17.g729950,0.0,1.0,['510'],['1888'],"['862', '510']",P1kCre1+2,7.0,G1,1.0,,,,
219,Cre17.g725050,0.0,1.0,['219'],['963'],"['219', '219']",P1kCre1+2,21.0,E3,1.0,,,,
220,Cre17.g715250,0.0,1.0,['684'],['2000'],['684'],P1kCre7,33.0,A5,0.0,1.0,,,
221,Cre17.g744547,0.0,1.0,['582'],['2319'],"['582', '582']",P1kCre1+2,73.0,A10,1.0,,,,
222,Cre17.g728150,0.0,1.0,['606'],['1095'],"['780', '606', '606', '606', '606', '606']",P1kCre7,3.0,C1,1.0,,,,
223,Cre17.g706850,0.0,1.0,['951'],['1907'],['951'],P1kCre9,87.0,G11,0.0,1.0,,,
224,Cre17.g714900,0.0,1.0,['564'],['1881'],"['564', '564']",P1kCre5,72.0,H9,0.0,1.0,,,
225,Cre17.g720183,0.0,1.0,['750'],[],[],P1kCre7,75.0,C10,1.0,0.0,,1.0,
226,Cre17.g715750,0.0,1.0,['897'],['1518'],['897'],P1kCre9,56.0,H7,1.0,,,,
227,Cre17.g704850,0.0,1.0,['543'],['1575'],"['543', '543', '784']",P1kCre1+2,66.0,B9,1.0,,,,
228,Cre17.g720250,0.0,1.0,['840'],['1385'],"['840', '840']",P1kCre9,26.0,B4,1.0,,,,
229,Cre17.g740950,0.0,1.0,['855'],['1842'],['855'],P1kCre9,33.0,A5,1.0,,,,
230,Cre17.g709250,0.0,1.0,['720'],['1372'],['720'],P1kCre3,5.0,E1,1.0,,,,
231,Cre17.g708300,0.0,1.0,['795'],['2440'],"['795', '795']",P1kCre9+10,1.0,A1,0.0,1.0,,,
232,Cre17.g735400,0.0,1.0,['636'],['3669'],[],P1kCre1+2,83.0,C11,1.0,,,,
233,Cre17.g739100,0.0,1.0,['756'],['1404'],"['749', '749', '749']",P1kCre7,78.0,F10,1.0,,,,
234,Cre17.g711250,0.0,1.0,['876'],['3013'],[],P1kCre9,44.0,D6,0.0,1.0,,,
235,Cre05.g238332,0.0,1.0,['588'],['588'],"['588', '588']",P1kCre5,85.0,E11,0.0,1.0,,,
236,Cre05.g237700,0.0,1.0,['192'],['432'],"['192', '192', '192']",P1kCre11,18.0,B3,1.0,,,,
237,Cre05.g244700,0.0,1.0,['759'],['3235'],"['759', '759', '869']",P1kCre7,80.0,H10,1.0,0.0,1.0,,
238,Cre05.g240000,0.0,1.0,['975'],['2966'],['975'],P1kCre11,5.0,E1,1.0,,,,
239,Cre05.g244850,0.0,1.0,['573'],['1210'],"['573', '573', '573']",P1kCre5,77.0,E10,1.0,,,,
