	Genename	ALY	ESA	AHA	AHA1
957	AT1G70350.1	908621	Thhalv10019350m	Araha.4685s0002.1.p	NaN
960	AT2G25850.2	320377	Thhalv10001908m	Araha.0773s0006.1.p	NaN
964	AT1G61566.1	924871	Thhalv10024096m	Araha.2138s0006.1.p	NaN
965	AT5G41010.1	891563	Thhalv10028022m	Araha.31350s0005.1.p	NaN
969	AT3G53710.1	485760	Thhalv10010333m	Araha.0602s0018.1.p	NaN
980	AT1G17540.1	471961	Thhalv10006957m	Araha.15627s0023.1.p	NaN
984	AT1G24070.1	313253	Thhalv10007269m	Araha.4881s0007.1.p	NaN
993	AT3G04840.1	477755	Thhalv10021341m	Araha.4820s0025.1.p	NaN
1009	AT1G68090.1	315818	Thhalv10019463m	Araha.5865s0001.1.p	NaN
1020	AT1G14530.1	471628	Thhalv10008286m	Araha.23368s0021.1.p	NaN
1031	AT5G21430.1	941682	Thhalv10014636m	Araha.0625s0002.1.p	NaN
1033	AT4G19000.1	492959	Thhalv10027557m	Araha.10976s0008.1.p	NaN
1046	AT1G19220.1	335174	Thhalv10006635m	Araha.6310s0002.1.p	NaN
1051	AT2G28240.1	913105	Thhalv10016207m	Araha.9059s0003.1.p	NaN
1056	AT3G49310.1	937723	Thhalv10010332m	Araha.15224s0004.1.p	NaN
1058	AT5G62090.1	950974	Thhalv10003661m	Araha.4168s0002.1.p	NaN
1061	AT1G69850.1	926293	Thhalv10018324m	Araha.6345s0006.1.p	NaN
1074	AT5G13260.1	488142	Thhalv10013191m	Araha.1298s0005.1.p	NaN
1113	AT3G60860.1	486560	Thhalv10005735m	Araha.7517s0001.1.p	NaN
1123	AT4G16195.1	946654	Thhalv10027197m	Araha.56154s0001.1.p	NaN
1124	AT3G21450.1	932682	Thhalv10021237m	Araha.4786s0001.1.p	NaN
1143	AT1G55730.1	914699	Thhalv10011487m	Araha.0395s0002.1.p	NaN
1150	AT5G40155.1	947763	Thhalv10027100m	Araha.16807s0003.1.p	NaN
1152	AT5G38440.1	947997	Thhalv10028054m	Araha.19953s0002.1.p	NaN
1157	AT4G28070.2	491970	Thhalv10025101m	Araha.17454s0013.1.p	NaN
1164	AT4G15755.1	493310	Thhalv10026991m	Araha.32873s0003.1.p	NaN
1178	AT3G61177.1	486591	Thhalv10006351m	Araha.3868s0008.1.p	NaN
1182	AT1G80540.1	316907	Thhalv10018376m	Araha.0253s0006.1.p	NaN
1192	AT1G62040.2	475132	Thhalv10023763m	Araha.61658s0001.1.p	NaN
1199	AT1G06475.1	470668	Thhalv10009210m	Araha.18750s0001.1.p	NaN
1233	AT1G75870.1	316513	Thhalv10019252m	Araha.12200s0003.1.p	NaN
1243	AT3G16600.1	318431	Thhalv10021937m	Araha.48245s0001.1.p	NaN
1247	AT3G58620.1	486314	Thhalv10005818m	Araha.2474s0030.1.p	NaN
1249	AT3G19610.1	479477	Thhalv10022420m	Araha.5366s0011.1.p	NaN
1251	AT5G40645.1	891613	Thhalv10028011m	Araha.38982s0001.1.p	NaN
1256	AT1G53250.1	474450	Thhalv10011596m	Araha.52017s0003.1.p	NaN
1260	AT1G14690.1	312467	Thhalv10007124m	Araha.16488s0010.1.p	NaN
1278	AT1G51120.1	474227	Thhalv10012356m	Araha.7962s0007.1.p	NaN
1291	AT3G02020.1	927551	Thhalv10020441m	Araha.27173s0008.1.p	NaN
1294	AT3G11180.2	928831	Thhalv10022012m	Araha.0246s0005.1.p	NaN
1307	AT4G10450.1	942855	Thhalv10028984m	Araha.20330s0002.1.p	NaN
1313	AT4G08840.1	895014	Thhalv10028569m	Araha.0059s0001.1.p	NaN
1321	AT1G19640.1	472188	Thhalv10007856m	Araha.1835s0016.1.p	NaN
1322	AT1G09370.1	471028	Thhalv10009653m	Araha.1407s0032.1.p	NaN
1326	AT4G10610.1	489908	Thhalv10028784m	Araha.4744s0009.1.p	NaN
1337	AT5G50920.1	495156	Thhalv10012603m	Araha.7885s0002.1.p	NaN
1348	AT3G28370.1	484614	Thhalv10004882m	Araha.17356s0001.1.p	NaN
1368	AT3G42960.1	484770	Thhalv10003119m	Araha.28913s0002.1.p	NaN
1377	AT3G15680.1	479022	Thhalv10021670m	Araha.3034s0026.1.p	NaN
1380	AT1G30500.2	473278	Thhalv10009032m	Araha.2050s0003.1.p	NaN
1381	AT3G01030.1	477432	Thhalv10022306m	Araha.13525s0013.1.p	NaN
1382	AT1G71250.1	908730	Thhalv10019503m	Araha.4747s0019.1.p	NaN
1388	AT4G17486.1	493128	Thhalv10026178m	Araha.1505s0003.1.p	NaN
1417	AT4G30064.1	889117	Thhalv10027260m	Araha.27401s0001.1.p	NaN
1422	AT1G48745.1	474010	Thhalv10011863m	Araha.36850s0001.1.p	NaN
1429	AT3G22200.2	479734	Thhalv10020563m	Araha.7050s0005.1.p	NaN
1440	AT5G40960.1	947636	Thhalv10028018m	Araha.8703s0004.1.p	NaN
1446	AT5G39400.1	330553	Thhalv10027783m	Araha.12280s0002.1.p	NaN
1456	AT4G26660.1	492139	Thhalv10024446m	Araha.9672s0002.1.p	NaN
1461	AT1G73170.1	316268	Thhalv10018237m	Araha.10643s0006.1.p	NaN
1469	AT1G16022.1	920509	Thhalv10009837m	Araha.6467s0007.1.p	NaN
1475	AT5G07660.1	487601	Thhalv10012532m	Araha.0070s0005.1.p	NaN
1496	AT3G43860.1	484821	Thhalv10002503m	Araha.10308s0002.1.p	NaN
1498	AT1G70830.1	926415	Thhalv10019454m	Araha.53962s0002.1.p	NaN
1502	AT3G22050.1	318936	Thhalv10022331m	Araha.69001s0002.1.p	NaN
1508	AT2G35765.1	482548	Thhalv10017498m	Araha.7562s0016.1.p	NaN
1523	AT3G15520.1	929358	Thhalv10020685m	Araha.3034s0044.1.p	NaN
1530	AT1G53010.1	474421	Thhalv10012307m	Araha.1240s0001.1.p	NaN
1537	AT3G11040.1	903991	Thhalv10020200m	Araha.29475s0003.1.p	NaN
1550	AT1G52565.1	337410	Thhalv10011857m	Araha.0363s0001.1.p	NaN
1551	AT2G04810.1	930800	Thhalv10002155m	Araha.14794s0001.1.p	NaN
1552	AT5G27100.1	491571	Thhalv10024356m	Araha.8849s0002.1.p	NaN
1573	AT2G16190.1	931789	Thhalv10023072m	Araha.19964s0001.1.p	NaN
1580	AT1G05040.1	333823	Thhalv10009951m	Araha.5092s0008.1.p	NaN
1588	AT4G33230.1	353497	Thhalv10024699m	Araha.3659s0004.1.p	NaN
1593	AT1G23540.1	472617	Thhalv10006956m	Araha.2017s0003.1.p	NaN
1604	AT4G14850.1	493409	Thhalv10024593m	Araha.11201s0004.1.p	NaN
1631	AT1G79560.1	927376	Thhalv10018071m	Araha.21478s0008.1.p	NaN
1643	AT1G03010.1	311401	Thhalv10007049m	Araha.39200s0009.1.p	NaN
1644	AT1G01225.1	470154	Thhalv10008506m	Araha.2490s0009.1.p	NaN
1645	AT1G47390.1	923035	Thhalv10017596m	Araha.18331s0001.1.p	NaN
1654	AT3G49160.1	485273	Thhalv10010144m	Araha.11107s0007.1.p	NaN
1655	AT2G40400.1	483095	Thhalv10016304m	Araha.1545s0001.1.p	NaN
1679	AT1G22520.2	472492	Thhalv10009192m	Araha.2296s0011.1.p	NaN
1685	AT4G14550.1	493451	Thhalv10026031m	Araha.1122s0013.1.p	NaN
1702	AT1G02813.1	470239	Thhalv10009715m	Araha.3147s0002.1.p	NaN
1707	AT1G77710.1	927173	Thhalv10019370m	Araha.18004s0017.1.p	NaN
1713	AT5G20690.1	488975	Thhalv10015893m	Araha.2541s0016.1.p	NaN
1721	AT5G22060.1	489058	Thhalv10013655m	Araha.9010s0004.1.p	NaN
1754	AT5G51200.1	495190	Thhalv10002339m	Araha.12168s0008.1.p	NaN
1781	AT3G27920.1	347167	Thhalv10005428m	Araha.66627s0001.1.p	NaN
1788	AT2G23580.1	481225	Thhalv10000487m	Araha.31904s0001.1.p	NaN
1821	AT5G54220.1	950057	Thhalv10015265m	Araha.2583s0003.1.p	NaN
1826	AT2G23970.1	899717	Thhalv10000640m	Araha.6923s0002.1.p	NaN
1842	AT4G32460.1	944716	Thhalv10025706m	Araha.15671s0002.1.p	NaN
1850	AT3G18150.1	932542	Thhalv10027555m	Araha.8074s0003.1.p	NaN
1862	AT4G35280.1	944364	Thhalv10025912m	Araha.0473s0002.1.p	NaN
1865	AT3G54240.1	485821	Thhalv10023560m	Araha.23752s0007.1.p	NaN
1876	AT3G18520.2	479356	Thhalv10020421m	Araha.15314s0003.1.p	NaN
1882	AT1G63960.1	337983	Thhalv10023803m	Araha.5636s0003.1.p	NaN
1886	AT2G23660.1	932364	Thhalv10000525m	Araha.22112s0002.1.p	NaN
1918	AT1G18960.1	472119	Thhalv10008283m	Araha.2977s0006.1.p	NaN
1924	AT5G55856.1	950240	Thhalv10015519m	Araha.12215s0004.1.p	NaN
1939	AT4G05420.1	943318	Thhalv10028374m	Araha.33476s0002.1.p	NaN
1940	AT1G21590.1	472395	Thhalv10006893m	Araha.13360s0005.1.p	NaN
1944	AT3G56340.1	486074	Thhalv10006245m	Araha.15521s0007.1.p	NaN
1952	AT3G13229.1	478708	Thhalv10022027m	Araha.10371s0004.1.p	NaN
1955	AT4G10040.1	489849	Thhalv10029081m	Araha.10723s0001.1.p	NaN
1960	AT5G53810.1	917041	Thhalv10014001m	Araha.24198s0006.1.p	NaN
1963	AT3G53930.2	323930	Thhalv10010160m	Araha.2363s0002.1.p	NaN
1966	AT1G08790.1	910584	Thhalv10009929m	Araha.5150s0011.1.p	NaN
1967	AT5G53190.1	495392	Thhalv10014447m	Araha.28500s0001.1.p	NaN
1974	AT1G80090.1	477249	Thhalv10019455m	Araha.2878s0004.1.p	NaN
1988	AT5G47635.1	330672	Thhalv10001056m	Araha.13706s0002.1.p	NaN
2007	AT3G52160.1	485579	Thhalv10010365m	Araha.5854s0008.1.p	NaN
2016	AT5G63640.1	496554	Thhalv10004212m	Araha.10709s0002.1.p	NaN
2028	AT5G66260.1	918550	Thhalv10005393m	Araha.1084s0030.1.p	NaN
2040	AT4G02420.1	490325	Thhalv10028492m	Araha.0687s0011.1.p	NaN
2081	AT1G73790.1	926756	Thhalv10019414m	Araha.19609s0003.1.p	NaN
2083	AT1G62020.1	475134	Thhalv10000016m	Araha.10744s0002.1.p	NaN
2084	AT1G22100.1	313098	Thhalv10007647m	Araha.7166s0004.1.p	NaN
2109	AT1G08160.1	470877	Thhalv10009522m	Araha.5647s0004.1.p	NaN
2110	AT5G37770.1	493755	Thhalv10027972m	Araha.3969s0001.1.p	NaN
2114	AT2G44470.3	483572	Thhalv10001770m	Araha.14463s0001.1.p	NaN
2117	AT3G24495.1	479958	Thhalv10002887m	Araha.8558s0002.1.p	NaN
2146	AT4G24975.1	945598	Thhalv10027201m	Araha.29780s0002.1.p	NaN
2150	AT4G12120.1	327340	Thhalv10028497m	Araha.21002s0001.1.p	NaN
2158	AT3G54550.1	898394	Thhalv10010913m	Araha.31673s0017.1.p	NaN
2161	AT1G09500.1	471045	Thhalv10019826m	Araha.1407s0046.1.p	NaN
2172	AT3G06970.1	317559	Thhalv10022174m	Araha.21010s0003.1.p	NaN
2186	AT5G26805.1	942261	Thhalv10005695m	Araha.25491s0001.1.p	NaN
2191	AT5G42520.1	331146	Thhalv10006075m	Araha.6463s0004.1.p	NaN
2195	AT4G04620.1	943233	Thhalv10029077m	Araha.0295s0002.1.p	NaN
2199	AT4G22115.1	945930	Thhalv10026978m	Araha.15828s0002.1.p	NaN
2229	AT1G60800.1	475252	Thhalv10023342m	Araha.8608s0001.1.p	NaN
2237	AT4G30070.1	491747	Thhalv10026566m	Araha.27401s0002.1.p	NaN
2242	AT5G04970.1	487284	Thhalv10013020m	Araha.34834s0006.1.p	NaN
2248	AT3G29130.2	936716	Thhalv10005148m	Araha.13738s0001.1.p	NaN
2249	AT5G60040.2	496142	Thhalv10012446m	Araha.11355s0009.1.p	NaN
2265	AT3G21090.1	479628	Thhalv10020189m	Araha.39810s0001.1.p	NaN
2285	AT1G79470.1	477114	Thhalv10018438m	Araha.20861s0001.1.p	NaN
2288	AT5G20960.1	489007	Thhalv10012448m	Araha.12632s0016.1.p	NaN
2292	AT1G20190.1	472249	Thhalv10008566m	Araha.17879s0002.1.p	NaN
2317	AT1G08800.1	470953	Thhalv10006726m	Araha.5150s0012.1.p	NaN
2326	AT2G32410.1	933807	Thhalv10016512m	Araha.16250s0002.1.p	NaN
2328	AT1G12860.1	911072	Thhalv10007566m	Araha.52989s0002.1.p	NaN
2332	AT5G46130.1	948337	Thhalv10001154m	Araha.3556s0005.1.p	NaN
2333	AT4G32590.3	944698	Thhalv10026415m	Araha.1435s0008.1.p	NaN
2336	AT3G07195.1	928390	Thhalv10021478m	Araha.19321s0007.1.p	NaN
2349	AT5G50700.1	495130	Thhalv10015475m	Araha.4353s0014.1.p	NaN
2350	AT5G40980.1	947634	Thhalv10028017m	Araha.8703s0002.1.p	NaN
2362	AT4G12410.1	943146	Thhalv10029032m	Araha.10463s0001.1.p	NaN
2402	AT2G41150.2	483184	Thhalv10016761m	Araha.16799s0002.1.p	NaN
2412	AT1G10370.1	919812	Thhalv10008682m	Araha.4736s0001.1.p	NaN
2416	AT4G34250.1	491244	Thhalv10025022m	Araha.4194s0008.1.p	NaN
2420	AT2G02030.1	896150	Thhalv10005659m	Araha.62034s0001.1.p	NaN
2422	AT3G12860.1	478647	Thhalv10020558m	Araha.31476s0002.1.p	NaN
2437	AT2G36750.1	482658	Thhalv10016560m	Araha.44661s0003.1.p	NaN
2440	AT4G38650.1	490628	Thhalv10024805m	Araha.5686s0004.1.p	NaN
2444	AT2G46990.1	346509	Thhalv10001719m	Araha.2031s0003.1.p	NaN
2446	AT3G56490.1	486090	Thhalv10006296m	Araha.55234s0005.1.p	NaN
2448	AT3G29070.1	484678	Thhalv10004879m	Araha.16118s0004.1.p	NaN
2459	AT5G49240.1	357174	Thhalv10005377m	Araha.42552s0001.1.p	NaN
2466	AT5G01680.1	892041	Thhalv10015355m	Araha.12977s0007.1.p	NaN
2473	AT5G02110.1	939587	Thhalv10015838m	Araha.4197s0006.1.p	NaN
2480	AT1G04160.1	919092	Thhalv10006554m	Araha.5204s0001.1.p	NaN
2488	AT1G76290.1	909249	Thhalv10019732m	Araha.14374s0003.1.p	NaN
2491	AT1G54220.1	914615	Thhalv10011375m	Araha.8117s0003.1.p	NaN
2516	AT2G36580.1	934288	Thhalv10016506m	Araha.5004s0007.1.p	NaN
2517	AT4G00467.1	327726	Thhalv10029141m	Araha.7109s0014.1.p	NaN
2519	AT1G54790.2	474754	Thhalv10023524m	Araha.29796s0001.1.p	NaN
2520	AT4G23496.1	492521	Thhalv10027042m	Araha.5498s0007.1.p	NaN
2524	AT5G62850.1	496468	Thhalv10004842m	Araha.44914s0001.1.p	NaN
2526	AT1G64295.1	337954	Thhalv10023822m	Araha.8367s0004.1.p	NaN
2546	AT1G79510.1	477119	Thhalv10019001m	Araha.21478s0003.1.p	NaN
2548	AT1G21660.1	472404	Thhalv10007304m	Araha.0358s0001.1.p	NaN
2549	AT1G64280.1	474924	Thhalv10023365m	Araha.8367s0001.1.p	NaN
2555	AT2G31510.1	933699	Thhalv10016456m	Araha.6424s0003.1.p	NaN
2563	AT1G73620.1	476498	Thhalv10019050m	Araha.14227s0004.1.p	NaN
2565	AT2G33670.1	482315	Thhalv10016533m	Araha.57891s0002.1.p	NaN
2567	AT5G06240.1	487431	Thhalv10014881m	Araha.70316s0001.1.p	NaN
2576	AT1G71050.1	926449	Thhalv10019290m	Araha.4747s0001.1.p	NaN
2579	AT1G08970.4	470975	Thhalv10008649m	Araha.32703s0008.1.p	NaN
2583	AT2G41880.1	902166	Thhalv10016777m	Araha.2219s0002.1.p	NaN
2588	AT5G47080.1	494272	Thhalv10000988m	Araha.56374s0003.1.p	NaN
2604	AT2G39470.1	482968	Thhalv10017187m	Araha.13755s0004.1.p	NaN
2629	AT5G44840.1	948597	Thhalv10001153m	Araha.16452s0003.1.p	NaN
2661	AT5G59400.2	496067	Thhalv10014435m	Araha.7283s0015.1.p	NaN
2671	AT4G30074.1	889115	Thhalv10027387m	Araha.27401s0003.1.p	NaN
2687	AT2G33070.3	482246	Thhalv10020667m	Araha.68227s0001.1.p	NaN
2694	AT1G62320.1	338150	Thhalv10023297m	Araha.6225s0001.1.p	NaN
2707	AT1G36340.1	314056	Thhalv10001874m	Araha.3822s0001.1.p	NaN
2718	AT3G19450.1	479461	Thhalv10020991m	Araha.6174s0006.1.p	NaN
2726	AT2G15370.1	906274	Thhalv10022636m	Araha.53095s0001.1.p	NaN
2737	AT1G62800.2	475071	Thhalv10023500m	Araha.5318s0009.1.p	NaN
2738	AT3G03510.1	317232	Thhalv10022312m	Araha.10914s0001.1.p	NaN
2739	AT4G29230.1	328786	Thhalv10024980m	Araha.5579s0003.1.p	NaN
2741	AT3G04280.1	477689	Thhalv10022233m	Araha.26942s0002.1.p	NaN
2746	AT1G77300.1	476894	Thhalv10017998m	Araha.21880s0002.1.p	NaN
2773	AT3G56700.1	324181	Thhalv10005887m	Araha.4857s0003.1.p	NaN
2776	AT5G04500.1	939849	Thhalv10012710m	Araha.6120s0002.1.p	NaN
2781	AT2G20450.1	906855	Thhalv10022865m	Araha.2771s0011.1.p	NaN
2789	AT3G57620.1	938744	Thhalv10023396m	Araha.15695s0013.1.p	NaN
2807	AT1G22480.1	472488	Thhalv10009689m	Araha.2296s0006.1.p	NaN
2815	AT3G13640.1	929121	Thhalv10002453m	Araha.0661s0012.1.p	NaN
2836	AT5G52880.1	331646	Thhalv10014697m	Araha.60079s0002.1.p	NaN
