	Genename	ALY	ESA	AHA	AHA1
2373	AT5G57500.1	950440	Thhalv10014129m	NaN	44305
2381	AT4G17170.1	493160	Thhalv10025789m	NaN	44755
2388	AT5G14690.1	488311	Thhalv10014646m	NaN	87853
2389	AT1G02700.1	470228	Thhalv10008633m	NaN	168191
2405	AT2G35200.1	482485	Thhalv10017262m	NaN	74722
2419	AT4G14500.1	493456	Thhalv10025252m	NaN	39402
2421	AT3G24535.1	332998	Thhalv10026311m	NaN	139986
2472	AT2G40910.1	321778	Thhalv10016561m	NaN	162057
2477	AT4G08960.1	489715	Thhalv10028722m	NaN	64819
2478	AT5G01890.1	486880	Thhalv10012579m	NaN	49928
2485	AT2G27690.1	933275	Thhalv10016556m	NaN	146473
2513	AT1G56720.1	474837	Thhalv10023423m	NaN	108027
2531	AT5G49560.1	495016	Thhalv10027491m	NaN	2460
2560	AT1G59580.1	907544	Thhalv10023530m	NaN	49004
2577	AT5G16080.1	488458	Thhalv10013981m	NaN	12441
2585	AT3G45640.1	484948	Thhalv10002582m	NaN	114861
2606	AT4G15210.1	493370	Thhalv10024989m	NaN	4286
2607	AT4G16230.1	355138	Thhalv10027022m	NaN	131413
2622	AT4G30820.1	491672	Thhalv10026542m	NaN	112691
2638	AT1G54830.2	474760	Thhalv10023684m	NaN	3186
2645	AT5G47640.1	948136	Thhalv10001037m	NaN	10818
2650	AT2G45420.1	483677	Thhalv10001791m	NaN	137618
2651	AT3G50850.1	485437	Thhalv10010630m	NaN	49674
2654	AT1G75820.1	476729	Thhalv10018069m	NaN	38455
2657	AT3G27420.1	322871	Thhalv10004828m	NaN	35860
2664	AT5G64090.1	496605	Thhalv10004233m	NaN	33148
2679	AT3G48000.1	485161	Thhalv10010271m	NaN	118415
2702	AT1G14380.1	911231	Thhalv10007067m	NaN	1802
2704	AT4G17480.1	493130	Thhalv10025863m	NaN	36942
2706	AT2G45300.1	483663	Thhalv10001404m	NaN	39316
2708	AT4G04610.1	943230	Thhalv10028642m	NaN	95861
2719	AT1G30170.1	473236	Thhalv10007993m	NaN	178010
2722	AT3G55730.1	486007	Thhalv10010431m	NaN	48037
2756	AT4G14690.1	330043	Thhalv10026318m	NaN	117689
2758	AT3G18170.1	341951	Thhalv10020483m	NaN	95877
2761	AT3G44990.1	484893	Thhalv10002627m	NaN	3745
2764	AT4G01700.1	943574	Thhalv10028870m	NaN	380
2803	AT5G06280.1	487437	Thhalv10014914m	NaN	183470
2818	AT3G10740.1	478409	Thhalv10020209m	NaN	75508
2831	AT1G35420.2	473673	Thhalv10001825m	NaN	10239
2835	AT2G21380.1	481003	Thhalv10000024m	NaN	81115
2840	AT1G61215.1	924910	Thhalv10023448m	NaN	67988
2852	AT1G34780.1	473651	Thhalv10001824m	NaN	60368
2856	AT5G06690.2	487479	Thhalv10015512m	NaN	18265
2862	AT5G53870.1	917049	Thhalv10015243m	NaN	4553
2872	AT5G54470.1	495528	Thhalv10014573m	NaN	135751
2873	AT2G46800.1	483845	Thhalv10001478m	NaN	5057
2896	AT5G26330.1	489473	Thhalv10004981m	NaN	67780
2903	AT3G13530.1	478740	Thhalv10019902m	NaN	144960
2904	AT4G02400.1	490329	Thhalv10028424m	NaN	46032
2934	AT2G31170.1	482044	Thhalv10016433m	NaN	144489
2966	AT3G43270.1	936938	Thhalv10002482m	NaN	159433
2981	AT2G19710.1	480500	Thhalv10001901m	NaN	39348
2983	AT1G24290.1	472917	Thhalv10009719m	NaN	35007
3006	AT2G35350.1	482498	Thhalv10016260m	NaN	45219
3013	AT1G76740.1	927069	Thhalv10018017m	NaN	144442
3034	AT5G48480.1	949261	Thhalv10005050m	NaN	25470
3038	AT3G47590.1	347854	Thhalv10010563m	NaN	16947
3043	AT1G77520.1	476917	Thhalv10018703m	NaN	112126
3048	AT3G24500.1	479959	Thhalv10002703m	NaN	92932
3051	AT2G30360.1	481948	Thhalv10017776m	NaN	14666
3067	AT4G13950.1	493518	Thhalv10026600m	NaN	161934
3069	AT5G42500.1	949017	Thhalv10008857m	NaN	11089
3073	AT4G13940.1	947029	Thhalv10024750m	NaN	59206
3085	AT3G44610.1	323150	Thhalv10002527m	NaN	59078
3088	AT3G44600.1	484871	Thhalv10002440m	NaN	13134
3092	AT1G63910.1	315039	Thhalv10023948m	NaN	119129
3100	AT2G33845.1	482340	Thhalv10017314m	NaN	17896
3145	AT5G20790.1	488984	Thhalv10014753m	NaN	75058
3149	AT1G14430.1	920333	Thhalv10007241m	NaN	121952
3159	AT5G46600.1	356337	Thhalv10000866m	NaN	163035
3161	AT2G37630.1	934420	Thhalv10016830m	NaN	35316
3162	AT2G38780.1	321574	Thhalv10016593m	NaN	12089
3186	AT2G25430.1	481396	Thhalv10000078m	NaN	124111
3193	AT4G09350.1	942711	Thhalv10028742m	NaN	26408
3194	AT5G21482.1	489034	Thhalv10013259m	NaN	28977
3196	AT2G17200.1	480602	Thhalv10022621m	NaN	2861
3223	AT3G13980.1	929169	Thhalv10022002m	NaN	743
3242	AT3G45770.1	484959	Thhalv10002573m	NaN	49152
3268	AT3G21480.1	359673	Thhalv10019982m	NaN	2294
3272	AT5G65670.1	496800	Thhalv10004532m	NaN	144648
3307	AT3G54210.1	485818	Thhalv10010668m	NaN	130836
3317	AT5G47770.1	948214	Thhalv10000912m	NaN	161680
3323	AT1G18480.1	472067	Thhalv10007840m	NaN	115314
3329	AT3G51240.1	485476	Thhalv10010399m	NaN	29099
3337	AT5G42440.1	949043	Thhalv10016827m	NaN	112409
3344	AT3G46880.1	485059	Thhalv10010907m	NaN	41304
3348	AT4G36195.1	491014	Thhalv10025043m	NaN	12913
3368	AT1G54200.1	474551	Thhalv10012317m	NaN	173954
3379	AT5G39860.1	947820	Thhalv10028074m	NaN	119333
3381	AT4G39960.1	490783	Thhalv10025198m	NaN	64653
3386	AT3G47820.1	485145	Thhalv10010295m	NaN	875
3419	AT5G44090.1	494587	Thhalv10003178m	NaN	39167
3434	AT4G30230.1	491728	Thhalv10026023m	NaN	3657
3438	AT2G25250.1	932662	Thhalv10000356m	NaN	22
3442	AT1G54330.1	474694	Thhalv10012158m	NaN	96082
3470	AT1G22065.1	921219	Thhalv10009379m	NaN	184704
3472	AT1G73600.2	908972	Thhalv10018431m	NaN	106150
3498	AT1G05420.1	919239	Thhalv10009912m	NaN	18115
3501	AT5G17110.1	893621	Thhalv10015849m	NaN	122604
3505	AT5G13890.1	488214	Thhalv10014197m	NaN	78095
3507	AT2G38010.2	482807	Thhalv10016292m	NaN	96106
3510	AT4G35190.1	944375	Thhalv10026256m	NaN	17517
3512	AT2G44840.1	935434	Thhalv10001758m	NaN	53777
3525	AT3G49950.1	348107	Thhalv10010981m	NaN	105591
3526	AT5G04770.1	487256	Thhalv10013075m	NaN	3992
3540	AT5G46170.1	494357	Thhalv10000919m	NaN	66248
3545	AT4G01500.1	943596	Thhalv10028783m	NaN	42263
3573	AT4G14380.1	493464	Thhalv10026764m	NaN	169171
3587	AT3G60220.1	486491	Thhalv10006088m	NaN	67759
3615	AT4G27410.3	492058	Thhalv10025818m	NaN	54585
3627	AT4G19110.2	492943	Thhalv10027028m	NaN	9948
3632	AT1G32970.1	473479	Thhalv10006863m	NaN	12092
3640	AT1G62390.1	475104	Thhalv10006907m	NaN	80699
3661	AT2G28110.1	481698	Thhalv10016649m	NaN	99058
3685	AT3G56720.3	486112	Thhalv10005957m	NaN	161571
3693	AT2G26040.1	932813	Thhalv10002167m	NaN	138646
3698	AT2G38290.1	934547	Thhalv10016571m	NaN	78878
3716	AT1G29810.1	912787	Thhalv10008867m	NaN	7235
3731	AT4G22600.1	945865	Thhalv10026873m	NaN	181160
3743	AT1G01300.1	470145	Thhalv10009389m	NaN	17613
3767	AT1G66810.1	475777	Thhalv10018817m	NaN	175978
3776	AT3G15250.1	478956	Thhalv10021913m	NaN	52631
3778	AT2G30010.1	933489	Thhalv10016701m	NaN	142416
3779	AT4G17030.1	946531	Thhalv10026076m	NaN	52361
3787	AT5G26310.1	496932	Thhalv10005518m	NaN	22589
3808	AT1G66890.1	475783	Thhalv10019248m	NaN	113276
3818	AT3G21550.1	930116	Thhalv10021605m	NaN	80093
3831	AT5G22930.1	351315	Thhalv10014543m	NaN	127090
3848	AT5G54060.1	495482	Thhalv10013471m	NaN	58624
3855	AT1G67590.1	475861	Thhalv10018804m	NaN	29020
3857	AT2G34140.1	934010	Thhalv10017316m	NaN	142947
3896	AT2G19730.1	480498	Thhalv10002093m	NaN	20776
3902	AT3G62810.1	486784	Thhalv10006327m	NaN	129511
3944	AT4G10970.6	489939	Thhalv10028955m	NaN	135672
3959	AT5G66620.1	918513	Thhalv10003845m	NaN	101442
3960	AT4G33430.2	491347	Thhalv10024694m	NaN	37695
3973	AT5G43250.1	948856	Thhalv10003290m	NaN	107755
3979	AT1G33240.1	473497	Thhalv10007000m	NaN	157322
3987	AT1G15550.1	471756	Thhalv10008008m	NaN	10102
3988	AT5G21280.1	489044	Thhalv10014216m	NaN	45386
3994	AT1G63930.1	474967	Thhalv10023488m	NaN	58614
3995	AT1G69330.1	476060	Thhalv10019012m	NaN	64492
4018	AT3G62720.1	939360	Thhalv10005949m	NaN	57281
4032	AT1G61150.1	475208	Thhalv10023660m	NaN	76492
4035	AT1G16510.1	471849	Thhalv10009033m	NaN	69057
4058	AT1G10830.1	471219	Thhalv10007996m	NaN	86163
4086	AT5G49020.1	494964	Thhalv10003986m	NaN	132597
4092	AT4G28780.1	491877	Thhalv10025523m	NaN	111151
4097	AT4G29110.1	491847	Thhalv10026234m	NaN	96896
4116	AT2G40200.1	483066	Thhalv10017126m	NaN	164411
4140	AT4G16060.1	493280	Thhalv10025823m	NaN	137651
4146	AT3G16420.1	479097	Thhalv10021232m	NaN	53680
4176	AT3G18690.1	929753	Thhalv10021464m	NaN	142702
4216	AT4G21580.1	492720	Thhalv10025712m	NaN	2518
4239	AT5G56100.1	950264	Thhalv10014952m	NaN	138288
4244	AT3G02530.1	477487	Thhalv10020484m	NaN	104296
4265	AT4G11320.1	489965	Thhalv10028681m	NaN	146829
4266	AT1G29195.1	921952	Thhalv10008836m	NaN	111128
4274	AT1G19300.1	472152	Thhalv10008059m	NaN	39184
4290	AT1G58340.1	925173	Thhalv10024168m	NaN	147784
4295	AT4G30210.1	944970	Thhalv10024546m	NaN	25888
4306	AT1G59990.1	475311	Thhalv10023381m	NaN	152640
4313	AT5G54960.1	495579	Thhalv10013010m	NaN	122406
4321	AT5G51720.1	495239	Thhalv10015074m	NaN	74281
4332	AT2G24390.1	932479	Thhalv10000361m	NaN	35671
4338	AT2G16370.1	480800	Thhalv10022646m	NaN	56621
4344	AT5G10580.1	487891	Thhalv10014328m	NaN	72301
4349	AT5G17870.1	488653	Thhalv10015071m	NaN	79740
4355	AT2G16030.1	492129	Thhalv10027187m	NaN	38054
4357	AT4G16790.1	493194	Thhalv10024963m	NaN	42333
4359	AT1G70690.1	476197	Thhalv10019845m	NaN	1608
4372	AT3G22740.1	479786	Thhalv10021051m	NaN	136437
4384	AT2G19270.1	319616	Thhalv10022749m	NaN	88136
4408	AT3G48460.1	485206	Thhalv10010448m	NaN	34185
4419	AT5G20400.1	488949	Thhalv10013989m	NaN	164403
4439	AT1G28360.1	473050	Thhalv10009947m	NaN	36430
4448	AT1G35830.1	473703	Thhalv10001873m	NaN	99210
4451	AT1G21050.1	921072	Thhalv10008568m	NaN	80427
4476	AT1G59980.1	475312	Thhalv10023496m	NaN	40628
4494	AT4G10750.1	942896	Thhalv10029450m	NaN	145597
4498	AT5G36120.1	493654	Thhalv10005006m	NaN	14001
4529	AT3G11070.1	928820	Thhalv10020523m	NaN	2346
4538	AT1G32940.1	473476	Thhalv10006855m	NaN	51409
4574	AT2G27430.1	481642	Thhalv10001989m	NaN	144037
4580	AT1G30200.2	473238	Thhalv10007915m	NaN	14950
4607	AT5G10620.1	487896	Thhalv10014744m	NaN	99268
4622	AT4G22670.1	492602	Thhalv10025227m	NaN	158570
4629	AT2G27285.1	481627	Thhalv10002052m	NaN	90904
4631	AT1G78120.1	476979	Thhalv10018402m	NaN	8612
4632	AT5G16200.1	941112	Thhalv10015766m	NaN	80253
4644	AT1G64450.1	906954	Thhalv10023571m	NaN	180476
4656	AT4G15490.1	493341	Thhalv10025056m	NaN	173397
4664	AT3G50530.2	485401	Thhalv10010211m	NaN	2887
4691	AT2G22590.1	481118	Thhalv10000154m	NaN	49715
4705	AT1G76240.1	476776	Thhalv10019441m	NaN	27851
4712	AT4G32480.1	944713	Thhalv10025865m	NaN	137672
4715	AT1G03510.1	919017	Thhalv10007694m	NaN	1496
4721	AT5G22130.2	941711	Thhalv10013575m	NaN	124901
4743	AT3G13226.1	904224	Thhalv10020892m	NaN	183755
4752	AT3G28640.1	484639	Thhalv10005682m	NaN	18460
4756	AT4G21920.1	492676	Thhalv10026602m	NaN	151209
4772	AT2G17033.2	480587	Thhalv10022675m	NaN	173187
4777	AT1G64790.2	315447	Thhalv10022486m	NaN	109310
4782	AT2G35720.1	482541	Thhalv10016484m	NaN	59869
4805	AT5G01881.1	324794	Thhalv10014988m	NaN	63550
4813	AT1G31410.1	473635	Thhalv10007328m	NaN	112600
4827	AT5G18610.1	941387	Thhalv10013282m	NaN	34640
4837	AT4G25720.1	492250	Thhalv10025771m	NaN	955
4843	AT1G62850.2	475068	Thhalv10023661m	NaN	177714
4849	AT1G68185.1	475936	Thhalv10019127m	NaN	34785
4868	AT3G11580.1	928873	Thhalv10021305m	NaN	159685
4875	AT5G02000.1	892007	Thhalv10014950m	NaN	143
4879	AT5G46780.1	948263	Thhalv10001010m	NaN	10025
4892	AT5G24040.1	326692	Thhalv10005528m	NaN	105235
4900	AT5G10930.1	487924	Thhalv10015960m	NaN	20821
4912	AT3G10190.1	928707	Thhalv10021512m	NaN	9426
4913	AT1G53950.1	330505	Thhalv10012102m	NaN	58632
4929	AT5G05450.1	939971	Thhalv10013039m	NaN	3862
4935	AT2G18640.1	480767	Thhalv10022745m	NaN	162143
4937	AT1G76490.1	316570	Thhalv10018320m	NaN	131698
4973	AT2G38152.1	934527	Thhalv10016818m	NaN	167296
4985	AT5G16190.1	488470	Thhalv10013578m	NaN	65031
4990	AT5G47190.1	494259	Thhalv10001011m	NaN	86460
5042	AT3G29280.1	484699	Thhalv10005014m	NaN	27232
5069	AT2G44600.1	483592	Thhalv10001551m	NaN	120712
5115	AT4G14385.1	946948	Thhalv10026437m	NaN	20192
5119	AT1G30230.2	473244	Thhalv10008675m	NaN	69349
5139	AT1G04330.1	919108	Thhalv10009178m	NaN	75178
5144	AT3G11600.1	478506	Thhalv10021790m	NaN	115298
5152	AT5G51680.1	949711	Thhalv10014011m	NaN	5169
5153	AT3G04520.1	928001	Thhalv10021036m	NaN	7793
5154	AT3G02550.1	477490	Thhalv10021328m	NaN	12009
5168	AT1G19330.3	472155	Thhalv10008586m	NaN	18726
5177	AT1G79910.1	477272	Thhalv10018725m	NaN	27977
5181	AT4G38210.1	490580	Thhalv10026049m	NaN	56402
5200	AT1G31160.1	336541	Thhalv10009998m	NaN	18720
5235	AT4G13690.1	355445	Thhalv10026053m	NaN	126899
5258	AT3G56100.1	324130	Thhalv10006389m	NaN	114977
5271	AT3G61820.1	486683	Thhalv10005923m	NaN	129632
5281	AT4G39820.1	490767	Thhalv10025314m	NaN	182515
5286	AT3G19670.1	929867	Thhalv10019995m	NaN	173639
5293	AT4G37730.1	888284	Thhalv10027117m	NaN	80723
5294	AT3G22760.1	930271	Thhalv10020373m	NaN	39824
5306	AT4G15940.1	493291	Thhalv10026185m	NaN	107003
5313	AT3G13682.1	478766	Thhalv10020143m	NaN	125090
5314	AT1G14687.1	471652	Thhalv10008930m	NaN	26962
5324	AT4G21620.1	946021	Thhalv10026556m	NaN	70567
5329	AT4G28210.1	328874	Thhalv10025608m	NaN	103451
5347	AT1G62225.1	924778	Thhalv10023864m	NaN	50708
5348	AT5G14130.1	893317	Thhalv10014070m	NaN	57809
5380	AT1G33170.1	473493	Thhalv10007044m	NaN	9733
5393	AT4G01850.1	943560	Thhalv10028715m	NaN	87736
5397	AT4G27440.1	492051	Thhalv10025367m	NaN	155296
5400	AT2G13650.1	480315	Thhalv10023587m	NaN	7859
5416	AT4G13460.1	332974	Thhalv10027300m	NaN	117948
5420	AT1G32920.1	922385	Thhalv10009241m	NaN	144926
5427	AT1G09210.1	919674	Thhalv10007717m	NaN	114119
5491	AT3G26935.1	484481	Thhalv10004226m	NaN	76884
5495	ATCG00480.1	907875	Thhalv10011087m	NaN	1098
5498	AT5G67090.1	496892	Thhalv10005646m	NaN	35875
5501	AT5G17280.1	488592	Thhalv10014934m	NaN	63632
5502	AT5G21105.1	489021	Thhalv10013113m	NaN	41913
5504	AT5G25220.1	489374	Thhalv10004250m	NaN	30590
5508	AT5G44350.1	494551	Thhalv10003311m	NaN	143467
5516	AT3G05770.1	908241	Thhalv10003428m	NaN	182276
5519	AT2G37920.1	321495	Thhalv10017070m	NaN	103239
5551	AT4G26830.1	329002	Thhalv10026799m	NaN	18208
5575	AT1G61340.2	475189	Thhalv10023716m	NaN	2227
5579	AT5G50930.1	331481	Thhalv10014960m	NaN	101252
5582	AT2G43790.1	935295	Thhalv10001439m	NaN	5769
5583	AT4G25080.3	492328	Thhalv10025780m	NaN	8920
5585	AT3G61680.1	486656	Thhalv10005828m	NaN	158958
